Date,Tag,No_Tag_Plot,No_Tag_Species,No_Tag_DBH,Position,n_Leaves,Leaf_Area_cm2,Leaf_Mass_g,Notes
6/12/19,1758,,,,Low/Shade,5,118.53,0.44,
6/12/19,1744,,,,Low/Shade,5,68.21,0.35,
6/12/19,1810,,,,Low/Shade,5,92.85,0.36,
6/12/19,1707,,,,Low/Shade,5,146.26,0.45,
6/12/19,1814,,,,Low/Shade,5,85.77,0.31,
6/12/19,1714,,,,Low/Shade,5,45.8,0.36,
6/12/19,1773,,,,Low/Shade,5,19.04,0.39,
6/12/19,1772,,,,Low/Shade,9,157.62,0.8,
6/12/19,1769,,,,Low/Shade,6,156.73,0.75,
6/12/19,1835,,,,Low/Shade,6,120.09,0.74,
6/12/19,1869,,,,Low/Shade,5,128.54,0.73,
6/12/19,1737,,,,Low/Shade,6,177.67,0.9,
6/12/19,1704,,,,Low/Shade,6,38.77,0.72,
6/12/19,1705,,,,Low/Shade,6,97.88,0.84,
6/12/19,1762,,,,Low/Shade,7,9.12,0.31,
6/12/19,1813,,,,Low/Shade,5,21.83,0.27,
6/12/19,1876,,,,Low/Shade,4,5.23,0.21,
6/12/19,1799,,,,Low/Shade,5,363.16,1.31,
6/12/19,1830,,,,Low/Shade,4,39.93,0.18,
6/12/19,1811,,,,Low/Shade,4,52.48,0.29,
6/12/19,,Salt,LITU,49.6,Low/Shade,6,428.6,1.69,by 1802
6/12/19,1823,,,,Low/Shade,6,499.61,2.2,
6/12/19,1726,,,,Low/Shade,5,203.96,0.84,
6/12/19,1739,,,,Low/Shade,5,8.07,0.21,
6/14/19,1537,,,,Low/Shade,6,208.71,0.56,
6/14/19,1537,,,,High/Sun,6,248.03,0.9,
6/14/19,1516,,,,Low/Shade,6,202.39,0.6,
6/14/19,1533,,,,Low/Shade,6,283.4,0.7,
6/14/19,1533,,,,High/Sun,6,214.58,0.68,
6/14/19,1558,,,,Low/Shade,6,185.69,0.45,
6/14/19,1558,,,,High/Sun,6,251.32,0.91,
6/14/19,1627,,,,Low/Shade,6,131.72,0.33,
6/14/19,1627,,,,High/Sun,6,207.43,0.61,
6/14/19,1596,,,,Low/Shade,5,165.53,0.39,
6/14/19,1559,,,,Low/Shade,6,217.76,1.26,
6/14/19,1521,,,,Low/Shade,6,241.27,0.91,
6/14/19,1520,,,,Low/Shade,6,96.99,0.4,
6/14/19,1563,,,,Low/Shade,6,323.61,1.77,
6/14/19,1592,,,,Low/Shade,6,219.65,1.16,
6/14/19,1609,,,,Low/Shade,6,253.54,1.26,
6/14/19,1617,,,,Low/Shade,6,133.68,0.44,"found leaf under scanner, put back in this bag"
6/14/19,1617,,,,High/Sun,6,280.59,1.06,
6/14/19,1536,,,,Low/Shade,6,223.65,0.66,
6/14/19,1536,,,,High/Sun,6,476.79,2.01,
6/14/19,1560,,,,Low/Shade,6,143.61,0.26,
6/14/19,1560,,,,High/Sun,6,149.54,0.57,
6/14/19,1434,,,,Low/Shade,6,157.73,0.54,
6/14/19,1434,,,,High/Sun,6,219.17,0.96,
6/14/19,1606,,,,Low/Shade,6,276.48,0.91,
6/14/19,1606,,,,High/Sun,6,260.12,0.97,
6/14/19,1608,,,,Low/Shade,6,159.17,0.47,
6/14/19,1608,,,,High/Sun,6,231.09,0.77,
6/14/19,1611,,,,Low/Shade,6,274.05,0.82,
6/14/19,1611,,,,High/Sun,6,316.7,1.04,
6/14/19,1554,,,,Low/Shade,6,131.54,0.39,
6/14/19,1554,,,,High/Sun,6,230.56,0.75,
6/14/19,1555,,,,Low/Shade,6,145.87,0.38,
6/14/19,1555,,,,High/Sun,6,167.78,0.46,
6/14/19,1540,,,,Low/Shade,6,330.8,0.9,
6/14/19,1583,,,,Low/Shade,7,505.59,1.85,
6/14/19,1337,,,,Low/Shade,6,326.69,0.84,
6/14/19,1337,,,,High/Sun,6,271.05,0.98,
6/14/19,1356,,,,Low/Shade,6,119.44,0.32,
6/14/19,1356,,,,High/Sun,6,429.67,1.77,
6/14/19,1380,,,,Low/Shade,6,131.71,0.47,
6/14/19,1374,,,,Low/Shade,6,156.62,0.48,
6/14/19,1438,,,,Low/Shade,6,169.01,0.56,
6/14/19,1438,,,,High/Sun,6,223.16,1.14,
6/14/19,1407,,,,Low/Shade,6,177.85,0.56,
6/14/19,1319,,,,Low/Shade,6,227.73,1.39,
6/14/19,1362,,,,Low/Shade,6,307.24,1.65,
6/14/19,1433,,,,Low/Shade,6,274.49,1.65,
6/14/19,1397,,,,Low/Shade,6,115.63,0.66,
6/14/19,1328,,,,Low/Shade,6,228.87,1.18,
6/14/19,1392,,,,Low/Shade,6,152.54,0.72,
6/14/19,1379,,,,Low/Shade,6,351.26,1.4,
6/14/19,1360,,,,Low/Shade,6,357.34,1.58,
6/14/19,1305,,,,Low/Shade,5,96.66,0.41,
6/14/19,1444,,,,Low/Shade,5,265.63,1.38,
6/14/19,1413,,,,Low/Shade,6,211.72,0.88,
6/14/19,1406,,,,Low/Shade,6,193.76,0.79,
6/14/19,1527,,,,Low/Shade,6,699.17,2.6,
6/14/19,1587,,,,Low/Shade,6,684.19,1.96,
6/14/19,1587,,,,High/Sun,6,656.4,2.48,
6/14/19,1586,,,,Low/Shade,6,416.63,1.38,
6/14/19,1614,,,,Low/Shade,6,531.81,1.74,
6/14/19,1616,,,,Low/Shade,6,877.27,2.83,
6/14/19,1621,,,,Low/Shade,5,486.27,1,
6/14/19,1385,,,,Low/Shade,6,914.19,3.19,
6/14/19,1325,,,,Low/Shade,6,487.65,1.84,
6/19/19,1416,,,,Low/Shade,6,296.25,0.82,
6/19/19,1449,,,,Low/Shade,6,250.45,1.03,
6/19/19,1321,,,,Low/Shade,5,581.53,2.25,
6/19/19,1336,,,,Low/Shade,5,345.24,1.03,
6/19/19,1317,,,,Low/Shade,6,788.92,2.86,
6/19/19,1312,,,,Low/Shade,5,280.61,0.91,
6/19/19,1429,,,,Low/Shade,6,147.58,0.61,
6/19/19,1410,,,,Low/Shade,5,253.4,1.03,
6/19/19,1409,,,,Low/Shade,5,352.72,1.86,
6/19/19,1427,,,,Low/Shade,6,190.35,0.92,
6/19/19,1417,,,,Low/Shade,5,371.94,2.2,
6/19/19,1426,,,,Low/Shade,6,252.69,1.2,
6/19/19,1440,,,,Low/Shade,6,179.67,0.77,
6/19/19,1345,,,,Low/Shade,6,421.81,1.92,
6/24/19,966,Shore,,14.4,Low/Shade,6,508.85,2.94,
6/24/19,966,Shore,,14.4,High/Sun,6,358,2.62,
6/24/19,971,Shore,,22.9,Low/Shade,6,186.47,0.75,
6/24/19,971,Shore,,22.9,High/Sun,6,394.31,2.65,
6/24/19,972,Shore,,12.5,Low/Shade,6,319.58,1.53,
6/24/19,972,Shore,,12.5,High/Sun,6,447.8,3.41,
6/24/19,974,Shore,,8,Low/Shade,6,272.97,1.12,
6/24/19,974,Shore,,8,High/Sun,6,492.41,3.23,
6/24/19,976,Shore,,34.8,Low/Shade,6,430.35,2.22,
6/24/19,977,Shore,,13,Low/Shade,6,356.88,2.04,
6/24/19,977,Shore,,13,High/Sun,6,377.92,2.75,
6/24/19,709,,,,Low/Shade,6,278.05,1.54,
6/24/19,709,,,,High/Sun,6,593.2,4.03,
6/24/19,706,,,,Low/Shade,6,131.24,0.78,
6/24/19,963,Shore,,11.1,Low/Shade,6,475.15,2.89,
6/24/19,963,Shore,,11.1,High/Sun,6,489.53,3.42,
6/24/19,964,Shore,,5.2,Low/Shade,6,344.64,1.43,
6/24/19,964,Shore,,5.2,High/Sun,6,565.16,2.95,
6/24/19,970,Shore,,12.1,Low/Shade,6,252.27,1.16,
6/24/19,970,Shore,,12.1,High/Sun,6,427.73,2.59,
6/24/19,975,Shore,,2.3,Low/Shade,6,212.53,0.75,
6/24/19,975,Shore,,2.3,High/Sun,6,385.49,1.8,
6/24/19,967,Shore,,9.3,Low/Shade,5,212.01,0.55,
6/24/19,967,Shore,,9.3,High/Sun,6,385.09,1.49,
6/24/19,,Shore,FAGR,1.1,Low/Shade,5,93.58,0.28,"too tiny to tag, near A&J box"
6/24/19,,Shore,FAGR,1.1,High/Sun,6,257.61,1.05,"too tiny to tag, near A&J box"
6/24/19,719,,,,Low/Shade,6,131.27,0.67,
6/24/19,718,,,,Low/Shade,6,225.09,1.35,
6/24/19,962,Shore,,13.8,Low/Shade,6,204.38,1.05,
6/24/19,962,Shore,,13.8,High/Sun,6,338.54,2.29,
6/24/19,965,Shore,,7,Low/Shade,6,362.79,2,
6/24/19,965,Shore,,7,High/Sun,6,246.51,1.55,
6/24/19,968,Shore,,27,Low/Shade,6,373.9,1.69,shore 1 sap flux 
6/24/19,968,Shore,,27,High/Sun,6,197.87,1.39,shore 1 sap flux 
6/24/19,973,Shore,,22.5,Low/Shade,6,255.38,1.75,
6/24/19,723,,,,Low/Shade,6,315.85,1.28,
6/24/19,720,,,,Low/Shade,6,370.67,1.29,
6/24/19,720,,,,High/Sun,6,347.43,1.29,
6/24/19,959,Shore,,18.8,Low/Shade,6,163.9,0.76,
6/24/19,960,Shore,,19.6,Low/Shade,6,178.98,0.82,
6/24/19,960,Shore,,19.6,High/Sun,6,100.31,0.68,
