"","Species Common","Leaf Position","Average SLA per Leaf Position"
"1","American beech","High/Sun",269.782777777778
"2","American beech","Low/Shade",320.522238095238
"3","Black gum","High/Sun",260.695125
"4","Black gum","Low/Shade",272.451
"5","Flowering dogwood","High/Sun",228.54
"6","Flowering dogwood","Low/Shade",294.272
"7","Pignut hickory","Low/Shade",277.8535
"8","Red maple","High/Sun",149.630666666667
"9","Red maple","Low/Shade",192.773434782609
"10","Sweet gum","High/Sun",203.229125
"11","Sweet gum","Low/Shade",208.21715
"12","Tulip popular","High/Sun",264.784
"13","Tulip popular","Low/Shade",273.61
"14","White oak","High/Sun",141.2548
"15","White oak","Low/Shade",212.381285714286
